순번(No),시설물명,시설물구분,시설물종류,종별,관리주체구분,항목명,위치
123,매송지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 101.0 m, 차로수 : 6",경기도 성남시
124,백현우회지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 230.0 m, 차로수 : 2",경기도 성남시
125,사송지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 150.0 m, 차로수 : 8",경기도 성남시
126,삼평지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 250.0 m, 차로수 : 2",경기도 성남시
127,수내지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 111.0 m, 차로수 : 4",경기도 성남시
128,시흥지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 210.0 m, 차로수 : 6",경기도 성남시
129,여수지하차도,터널,지하차도,2종,민간,"형식 : 박스형 / 연장 : 121.0 m, 차로수 : 4",경기도 성남시
130,여수지하차도(상행),터널,지하차도,2종,공공,"형식 : RC BOX, RC U-TYPE / 연장 : 380.0 m, 차로수 : 3",경기도 성남시
131,여수지하차도(하행),터널,지하차도,2종,공공,"형식 : RC BOX, RC U-TYPE / 연장 : 380.0 m, 차로수 : 3",경기도 성남시
132,이매지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 101.0 m, 차로수 : 6",경기도 성남시
133,정자지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 477.5 m, 차로수 : 4",경기도 성남시
134,판교IC지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 281.3 m, 차로수 : 2",경기도 성남시
135,하산운지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 320.0 m, 차로수 : 6",경기도 성남시
136,하탑지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 101.0 m, 차로수 : 6",경기도 성남시
137,광교중앙(아주대)역 환승센터 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 498.5 m, 차로수 : 4",경기도 수원시
138,권선지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 498.0 m, 차로수 : 4",경기도 수원시
139,동수원IC 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 160.0 m, 차로수 : 4",경기도 수원시
140,동역 지하차도,터널,지하차도,2종,민간,"형식 : 박스형 / 연장 : 245.0 m, 차로수 : 6",경기도 수원시
141,매여울지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 120.0 m, 차로수 : 4",경기도 수원시
142,밤밭지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 100.0 m, 차로수 : 4",경기도 수원시
143,서둔지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 305.0 m, 차로수 : 4",경기도 수원시
144,성대역지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 120.0 m, 차로수 : 2",경기도 수원시
145,세평지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 190.0 m, 차로수 : 4",경기도 수원시
146,신대 지하차도,터널,지하차도,2종,민간,"형식 : 박스형 / 연장 : 495.0 m, 차로수 : 6",경기도 수원시
147,여수내 지하차도,터널,지하차도,2종,민간,"형식 : 박스형 / 연장 : 255.0 m, 차로수 : 6",경기도 수원시
148,오목천지하차도,터널,지하차도,2종,공공,"형식 : 미등록 / 연장 : 430.0 m, 차로수 : 4",경기도 수원시
149,원천(원천교차로)지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 465.0 m, 차로수 : 4",경기도 수원시
150,일월지하차도,터널,지하차도,2종,공공,"형식 : U-TYPE+BOX / 연장 : 495.0 m, 차로수 : 4",경기도 수원시
151,장안지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 240.0 m, 차로수 : 4",경기도 수원시
152,정천지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 150.2 m, 차로수 : 4",경기도 수원시
153,창룡문 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 482.0 m, 차로수 : 4",경기도 수원시
154,호곳말통로,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 400.5 m, 차로수 : 6",경기도 수원시
155,호매실지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 452.0 m, 차로수 : 4",경기도 수원시
156,화서지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 256.0 m, 차로수 : 6",경기도 수원시
157,능골지하차도(상행),터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 110.0 m, 차로수 : 2",경기도 시흥시
158,능골지하차도(하행),터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 110.0 m, 차로수 : 2",경기도 시흥시
159,목감지하차도,터널,지하차도,2종,공공,"형식 : 직사각 / 연장 : 270.0 m, 차로수 : 4",경기도 시흥시
160,배곧지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 120.0 m, 차로수 : 4",경기도 시흥시
161,연성지하차도(상행),터널,지하차도,2종,민간,"형식 : 박스형 / 연장 : 230.0 m, 차로수 : 3",경기도 시흥시
162,연성지하차도(하행),터널,지하차도,2종,민간,"형식 : 박스형 / 연장 : 230.0 m, 차로수 : 3",경기도 시흥시
163,정왕지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 120.5 m, 차로수 : 5",경기도 시흥시
164,각골지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 220.0 m, 차로수 : 2",경기도 안산시
