"DST_YR","DST_TYPE_CD","DST_SN","RGN_CD","FLDN_SITU_SN","FLDN_BGNG_DT","FLSU_EXPC_DT","FLDN_HR_HR","FLDN_HR_MIN","FLDN_BFR_AREA","FLDN_RCFILD_AREA","FLDN_CTY_AREA","FLDN_BLDG_VILAGE_CNT","FLSU_BFR_AREA","FLSU_RCFILD_AREA","FLSU_CTY_AREA","FLSU_BLDG_VILAGE_CNT","DAM_DT","DAM_RGN_DONG_CD","DAM_RGN_DADDR","DAM_FACTR_CD","VLD_DTIN_SE","WRTR_ID","WRT_DT","MDFR_ID","MDFCN_DT","MAAS_OBNT_DT"
"재해연도","재해유형코드","재해일련번호","지역코드","침수상황일련번호","침수시작일시","퇴수예상일시","침수시간시간","침수시간분","침수전면적","침수답면적","침수도시면적","침수건물동수","퇴수전면적","퇴수답면적","퇴수도시면적","퇴수건물동수","피해일시","피해지역행정동코드","피해지역상세주소","피해요인코드","유효데이터구분","작성자아이디","작성일시","수정자아이디","수정일시","행정안전부입수일시"
"2012","001010","20","2914000000","1","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/08/01 15:00:00","2914074000","","018001","V","2914003001","2012/08/01 15:02:00","2914003001","2012/08/01 15:02:00","2012/08/01 23:32:59"
"2012","001010","20","2632000000","1","2012/08/01 14:30:00","2012/08/01 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/08/01 14:30:00","2632051000","166번지 일대 구포시장 아케이드 상점","018001","V","2632013001","2012/08/01 15:09:00","2632013001","2012/08/01 15:09:00","2012/08/01 23:32:59"
"2012","001010","20","4480000000","1","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/08/01 15:15:00","4480025300","264-5","018001","V","44800009","2012/08/01 15:16:00","44800009","2012/08/01 15:16:00","2012/08/01 23:32:59"
"2012","001010","20","4822000000","1","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0","0","0.2","0","0","0","0.2","0","2012/08/01 15:06:00","4822060000","산 1-1","018001","V","4822013001","2012/08/01 15:07:00","4822013001","2012/08/01 15:07:00","2012/08/01 23:32:59"
"2012","001010","20","4122000000","1","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/08/01 15:09:00","4122060000","","018001","V","4122009001","2012/08/01 15:10:00","4122009001","2012/08/01 15:10:00","2012/08/01 23:32:59"
"2012","001010","20","2714000000","1","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/07/27 15:00:00","2714051000","1100번지 일원","018001","V","2714009001","2012/08/01 15:11:00","2714009001","2012/08/01 15:11:00","2012/08/01 23:32:59"
"2012","001010","20","4715000000","1","2012/07/27 14:30:00","2012/07/27 14:30:00","0","0","0","0","0.2","0","0","0","0","0","2012/08/01 15:15:00","4715051500","","018001","V","4715013001","2012/08/01 15:15:00","4715013001","2012/08/01 15:15:00","2012/08/01 23:32:59"
"2012","001010","20","4680000000","1","2012/07/27 14:30:00","2012/07/27 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/08/01 14:40:00","4680025000","","018001","V","468000S1","2012/08/01 15:11:00","468000S1","2012/08/01 15:11:00","2012/08/01 23:32:59"
"2012","001010","20","4713000000","1","2012/08/01 14:30:00","2012/08/01 15:30:00","1","0","0","0","0.2","0","0","0","0","0","2012/08/01 14:30:00","4713055000","","018001","V","4713013001","2012/08/01 15:10:00","4713013001","2012/08/01 15:10:00","2012/08/01 23:32:59"
"2012","001010","20","1156000000","1","2012/08/01 16:33:00","2012/08/01 17:33:00","1","0","0","0","0.2","0","0","0","0.2","0","2012/08/01 16:33:00","1156067000","995-5","018001","V","1156009001","2012/08/01 17:34:00","1156009001","2012/08/01 17:34:00","2012/08/01 23:32:59"
