"DONG_CD","STATS_VL","DTA_UNIT_NM","ORGNL_PATH_CN","REG_DT","MDFCN_DT","YR"
"행정동코드","통계값","데이터단위명","원본경로내용","등록일시","수정일시","연도"
"4122000000","10751","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:39","2024/02/19 09:59:31","2020"
"4125000000","4357","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:40","2024/02/19 09:59:31","2020"
"4127000000","17428","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:41","2024/02/19 09:59:31","2020"
"4128000000","19523","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:41","2024/02/19 09:59:31","2020"
"4129000000","749","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:42","2024/02/19 09:59:31","2020"
"4131000000","4615","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:42","2024/02/19 09:59:31","2020"
"4136000000","13743","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:43","2024/02/19 09:59:31","2020"
"4137000000","3476","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:43","2024/02/19 09:59:31","2020"
"4139000000","9199","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:44","2024/02/19 09:59:31","2020"
"4141000000","5318","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:45","2024/02/19 09:59:31","2020"
"4143000000","1990","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:45","2024/02/19 09:59:31","2020"
